,Wall Street Journal,CNN,New York Times,Fox
0,Coronavirus stigma sends Chinese trucker on harrowing journey as Hubei license plate leaves him shunned and now stranded 500 miles from home https://t.co/TRTouiUHea,"President Trump's continued hand shaking has worried some federal health officials who wish he would stop until medical experts have more confidence he won't contract the virus, a source close to the coronavirus task force says https://t.co/KCOBJMMv96","Thousands of people marching in support of the Venezuelan opposition on Tuesday were met with tear gas as they tried to rekindle the struggle to oust President Nicolás Maduro
https://t.co/4RK7LdIbzq",BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM
1,The women who testified against Harvey Weinstein are now planning to return to a New York courtroom Wednesday and watch him get sentenced to years in prison  https://t.co/llFwYlH3Fg,"Walmart announced an emergency leave policy after one of its employees in Cynthiana, Kentucky, tested positive for coronavirus, according to a memo sent to employees https://t.co/V0fHG9TgOm","RT @dgelles: “They were an extraordinary group of people.” 

Seat by seat, a look at the victims of ET302, and the families pressing on in…","Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo"
2,"Marc Thibault, one of the first Americans diagnosed with the novel coronavirus, recounted days of pain and fear in his first interview Tuesday https://t.co/QRQPLc6C4p","Walmart announced an emergency leave policy after one of its store associates in Cynthiana, Kentucky, tested positive for coronavirus, according a memo from Walmart CEOs https://t.co/BS9tVbjZQF","On the morning of the Michigan primary, Joe Biden swore at a man who accused him of wanting to “take away our guns"" in a heated back-and-forth at a campaign stop in Detroit. “I support the Second Amendment,"" Biden replied. https://t.co/gsvgFbh5FV https://t.co/innXWTdB3b","JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX"
3,Drugmakers Regeneron and Sanofi are racing to launch clinical trials exploring whether their arthritis drug could treat symptoms of novel coronavirus infections https://t.co/8jw9593D9T,"CNN spoke to a journalist for Italian national newspaper la Repubblica, Beniamino Pagliaro, who described the measures taken in Italy due to the coronavirus as unprecedented.
https://t.co/7JOUZvZVkx","A sibling company of Google wanted to create a sensor-laden ""city of the future"" in Toronto. Its opponents, who saw it as a recipe for surveillance-driven, corporate-controlled urban dystopia, fought back and succeeded.
https://t.co/qXZ5gGlJ9V",JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m
4,"Colleges are taking fast steps to keep the coronavirus off campus, moving classes online, canceling group events and sending students home  https://t.co/EKN9MF6E1V","Unaccompanied migrant children will no longer be placed in shelters in California and Washington for the near future, unless in limited circumstances, over concerns about the coronavirus outbreak, according to a source familiar with the matter https://t.co/n2GPRdEoXe","Afghanistan plans to release thousands of Taliban prisoners. The move may help eliminate a sticking point in the American-led peace plan.
https://t.co/MDFiAVSJjh","Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, California. He was among 12 killed at the Borderline Bar &amp; Grill. https://t.co/gxJ8T6tvME https://t.co/RdA7LYoM9c"
5,Businesses are bracing for a longer and steeper economic downturn due to the new coronavirus than the single-quarter event initially anticipated https://t.co/cd8EGLocGx,"The estimated cost of the crisis, which Boeing spelled out for investors in January, includes $8.3 billion in compensation to the company's airline customers, and $6.3 billion in increased costs to build the jet. https://t.co/SvfVGbtD7s","Polls will start closing at 8 p.m. Eastern tonight. Until then, find the latest and more of what to watch for in today’s primaries here. https://t.co/MKZKFgEly8",Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x
6,Bernie Sanders's campaign cancels rally in Cleveland on concerns about holding large events amid coronavirus outbreak https://t.co/PnmHHSDfsH,"Former Vice President Joe Biden and Vermont Sen. Bernie Sanders have canceled separate campaign rallies scheduled for tonight in Cleveland, Ohio, as state officials expressed concern over large indoor gatherings being held during the coronavirus pandemic https://t.co/Kmc1pU08nD",Follow more from the campaign trail with New York Times journalists traveling with the candidates and talking to voters as they head to the polls https://t.co/uC3HocxZw8,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday. https://t.co/dMV68Hfdz0 https://t.co/jt07aXbrqn"
7,"All eyes are on the novel coronavirus, but China’s forgotten African-swine-fever crisis could still cause trouble https://t.co/OSClIvGbDt","Concerts, festivals and movie premieres are being postponed or canceled across the globe due to coronavirus. Here's a list of some affected so far: https://t.co/ZtbzlF1RJT",18 states have already voted in the Democratic presidential primary. Here’s a full look at where the candidates have won so far. https://t.co/CinbdsYPRo,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY
8,"Stocks staged a strong comeback in late trading, with the Dow surging more than 1,100 points to claw back some of the ground lost in Monday’s selloff https://t.co/25cvjIKBa4","""When done properly, quarantine is an effective way of preventing the spread of a virus,"" CNN's @lukemcgee writes. ""But that requires people to actually do it."" https://t.co/ve8U1097Io | Analysis","The polls have Joe Biden ahead in Michigan, but Washington is shaping up to be extremely close. Here's what the polling says about the states voting today.
https://t.co/zUe56FbIIp","An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a ""college country night"" at a bar. https://t.co/dMV68Hfdz0 https://t.co/5dYgD2qvAv"
9,"Restaurant chains were already struggling to attract more people. Now, @CGrantWSJ explains how the novel coronavirus could leave investors feeling burned. #WSJWhatsNow https://t.co/t2bsi931r3 https://t.co/59nD43FJ9D","The US military is expected to announce a 60-day pause on all previously scheduled moves for troops and their families in areas significantly impacted by the coronavirus pandemic, according to a defense official https://t.co/lHMGwKiywy","Michigan gave Bernie Sanders a signature win in 2016's Democratic primary. This year, @asteadwesley and @jmartNYT report, he may face longer odds in the state. https://t.co/73jLFt8Y9x",Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene.” https://t.co/dMV68Hfdz0 https://t.co/gIFpOr3phW
