,Wall Street Journal,CNN,New York Times,Fox
0,"How many times can a 4-year-old watch ""Frozen"" in one day? Parents confess their real schedules for their kids. https://t.co/HoNRkqKeYl","President Trump fired Michael Atkinson, the intelligence community watchdog who told Congress about the whistleblower complaint that led to impeachment https://t.co/Prjwy4ATHY","Kobe Bryant, Tamika Catchings, Tim Duncan and Kevin Garnett have been inducted into the Basketball Hall of Fame
https://t.co/ApFNeMfSoW",https://t.co/YIXb9Ums2U
1,"Alabama and Missouri became the latest states to issue some type of lockdown for their residents to help stop the spread of Covid-19
https://t.co/dgjiZiWfI3","Nurse Letha Love traveled to New York from Atlanta to help with the coronavirus pandemic. She says she was shocked by the number of patients and the severity of the crisis.

“It is a lot. I have run into so many nurses crying … It is emotionally draining” https://t.co/NMrvKrrH92 https://t.co/YULCvhditt","What does Larry David fear most right now? “Anarchy and a potential dental emergency — and not necessarily in that order,” he told Maureen Dowd
https://t.co/t1Yy8jnzfr",https://t.co/VorFtxltmN
2,Farms and orchards across the U.S. are scrambling to ensure a steady supply of workers during the coronavirus pandemic https://t.co/4Jj2JTbqGX,"According to figures released on Saturday by the Department of Health and Social Care, a total of 4,313 people have now died in the UK. https://t.co/rZi9QNVcRy","""It’s a big country, so there’s always going to be anomalies,"" said Robert Citino of the National World War II Museum. ""But most Americans realized these things were probably necessary for the war effort and were willing to go along.""
https://t.co/mlwvQJl2qZ",https://t.co/sUVE5AVQlF
3,"Hello? He-he-lo?
He-he-he-lo? Lo? Lo? (Damn)
(My Hangout’s a mess)
https://t.co/Zd8G2hFO2a","Democratic presidential front-runner Joe Biden says he has informed his Democratic rival for the nomination, Vermont Sen. Bernie Sanders, that he is beginning the process of vetting potential vice presidential running mates https://t.co/DUtaxYUfMD","Join @NYTStyles in an eco-therapeutic meditation. These 10 easy steps are designed to ease a nervous system constantly bracing for disaster. 

Get started by acknowledging this moment, breathing deeply and grounding yourself. https://t.co/xrqstfAmnj https://t.co/eysR3ZOjU6",https://t.co/QEfH3CMMXp
4,Paper towels. Cloth towels. Dryers. How you dry your hands is just as important as how you wash them. https://t.co/GMypx2FYq9,"While the number of active cases in Spain continues to rise, the rate of increase continues to slow. https://t.co/kkRKofCHcV","Thousands of prisoners in Britain will be granted early release within weeks to prevent the spread of the coronavirus, officials said on Saturday
https://t.co/HSfsegFMcT",https://t.co/AKdwRY4EHh
5,"For around 150 years, the “normal” human-body temperature has been 98.6 degrees Fahrenheit. New studies say that is too high, @mcjomcg explains. #WSJWhatsNow https://t.co/2Nl5zlk64w https://t.co/DU5tWFiSCx","At least 278,458 people in the United States have become infected and 7,159 have died, according to Johns Hopkins University's running case count.
https://t.co/3XVGJuHbnR","Gov. Andrew Cuomo says 85,000 people have volunteered to help New York fight the coronavirus, and that 22,000 are from out of state.

Get live updates on New York region:
https://t.co/yyU2TjA3Px",https://t.co/wA1tUBbtmo
6,Toilet paper sales up 186%. Cough and cold medicine? 862%. Amazon is struggling with a giant order surge. https://t.co/3zWh1ncYhW,"When Jared Kushner stood at the White House podium on Thursday, what Americans heard was ""a spine-chilling performance from a believer in small government, delivered at a time when only big government can save the day,"" @FridaGhitis writes for @CNNOpinion https://t.co/tRNUFrduff",“A global pandemic was not even on my worst case scenarios list.” Single parents told @nytparenting about their experience of helping their children through this moment. https://t.co/6RbW2KtLIX,https://t.co/Yg0DPEof7D
7,"As the coronavirus pandemic intensifies, adherents of the Financial Independence, Retire Early movement are doubling down on their commitment to frugality, large cash reserves and slashing expenses https://t.co/DE5jznE826","“The system that the federal government has put in place is not working, plain and simple. It's not adequate.” Senate Minority Leader Chuck Schumer says a military leader needs to be in charge of fixing the supply shortage during the coronavirus pandemic. https://t.co/RQZRWylMLy https://t.co/TKqo5Y7Urg","Authorities say the recovery search for 2 members of the Kennedy family whose canoe overturned in the Chesapeake Bay will continue on Saturday morning
https://t.co/i3ZBl5EmKC",https://t.co/ksABbboBek
8,This 1962 Starfire is a family treasure. “When our kids drive...there is a true bond from my childhood to theirs.” https://t.co/XR6bRlZU9X,Walmart began limiting the number of customers who can be in its stores at once because of the coronavirus pandemic https://t.co/S9QmSqixXD,"RT @jasondhorowitz: In Italy, having the right antibodies to the virus in one’s blood — a potential marker of immunity — may soon determine…",https://t.co/CKmQmsPJ1U
9,"Workers will have to wait a little longer for increased jobless benefits, a major provision in the coronavirus stimulus plan, as federal funds promised to states won’t be distributed until next week https://t.co/OOeGPS5S7N",Coronavirus and Brexit are combining to form Boris Johnson's worst nightmare. Analysis by @lukemcgee | https://t.co/g2ha2QHz03,"While medical experts and governors push for a more aggressive, national approach to the coronavirus, President Trump has resisted expanding limits on daily life, deflected responsibility and sought to shift blame onto the states
https://t.co/xpHRNgK7jM",https://t.co/Rfrnuid8rn
